newpoint	0	1	0	0	9097.0	11009.0	672.0	9020	10880
newpoint	1	1	0	0	7758.0	20920.0	298.0	7846	20851
newpoint	2	1	0	0	17262.0	14729.0	298.0	17227	14714
newpoint	3	1	0	0	15609.0	22228.0	198.0	15570	22311
newpoint	4	1	0	0	11869.0	26845.0	298.0	11869	26747
point	4	2	0	1	11669.531686052944	26761.557074523902	298.0	11584	26767
point	3	2	0	1	15529.596347544648	22409.31555430802	198.0	15510	22457
point	2	2	0	1	17105.30391927253	14516.793316158533	298.0	17081	14335
point	1	2	0	1	7993.212387434819	20737.029119405302	298.0	8001	20731
point	0	2	0	1	8745.058277646453	10436.66382929789	672.0	8727	10405
point	4	3	0	2	11373.32519618325	26786.845771580156	298.0	11202	26768
point	3	3	0	2	15449.348394588189	22590.28746768951	198.0	15443	22604
point	2	3	0	2	16982.988461978664	14278.648160688232	298.0	16869	14239
point	1	3	0	2	8280.3373746906	20777.978914081836	298.0	8344	20774
point	0	3	0	2	8352.436889383876	9894.705331862404	672.0	8192	9703
point	4	4	0	3	11079.905189468082	26738.35848530439	298.0	11029	26726
point	3	4	0	3	15176.5763040916	22558.688605449734	298.0	15061	22555
point	2	4	0	3	16821.66194633786	14409.870466552082	298.0	16775	14571
point	1	4	0	3	8494.201814675718	20404.253882442317	672.0	8498	20393
point	0	4	0	3	7893.588110588653	9404.588110588653	672.0	7669	9180
point	4	5	0	4	10793.663224653097	26671.0	298.0	10764	26671
point	3	5	0	4	15029.080072140572	22375.450405790718	298.0	14989	22150
point	2	5	0	4	16681.885409604565	14656.951256969804	298.0	16592	14711
point	1	5	0	4	8856.9333591328	19845.447832814625	672.0	8843	19730
point	0	5	0	4	7418.209858662758	8929.615012364433	672.0	7050	8562
point	4	6	0	5	10530.119384511498	26586.16030690016	672.0	10496	26326
point	3	6	0	5	14978.631513732313	22081.76867101264	298.0	14958	21946
point	2	6	0	5	16423.15116918985	14804.722258511361	298.0	16365	14837
point	1	6	0	5	9284.765819401464	20437.858681380123	1009.0	9356	20552
point	0	6	0	5	7093.325033197199	8510.54114830984	298.0	7311	8252
point	4	7	0	6	10534.73817293771	25933.399713005558	672.0	10548	25904
point	3	7	0	6	14939.238336563752	21786.469369514034	298.0	14935	21739
point	2	7	0	6	16265.005203700857	14628.73602440599	298.0	16239	14585
point	1	7	0	6	10189.22142378078	20773.664557868753	1009.0	10364	20772
point	0	7	0	6	7285.254839595981	8282.578543008605	298.0	7311	8252
point	4	8	0	7	10796.18198327175	25314.408710660966	672.0	10835	25225
point	3	8	0	7	14948.239469043756	21489.633583954652	298.0	14951	21471
point	2	8	0	7	16082.052861621549	14394.205696373065	298.0	16081	14393
point	1	8	0	7	11160.858232379649	21018.83824033309	1009.0	11552	21140
point	0	8	0	7	7502.482334363941	8424.951785877107	298.0	7559	8476
point	4	9	0	8	11059.447289751433	24696.129680687205	672.0	11196	24373
point	3	9	0	8	14937.644439275193	21206.571201137056	672.0	14844	21170
point	2	9	0	8	15897.053063293593	14096.747070641315	672.0	15104	14020
point	1	9	0	8	12031.142173180051	21500.346593052767	1009.0	12036	21504
disappearpoint	0	8	0	8	7618.0	8545.0	0.0	7618	8545
point	3	10	0	9	14635.771884053876	21370.049653823	448.0	14604	21671
point	2	10	0	9	15228.177854184432	14032.017211695267	672.0	15104	14020
point	1	10	0	9	12154.937480948707	22125.666389825274	672.0	11931	22639
point	4	10	0	9	11324.651128872067	24078.691145897392	672.0	11455	23778
point	3	11	0	10	14521.611522864529	21620.370209581553	298.0	14425	21561
point	2	11	0	10	14668.461105285438	13688.669797885856	672.0	14452	13524
point	1	11	0	10	11886.354598620066	22741.64009834634	672.0	11666	23276
point	4	11	0	10	11588.525459059192	23460.677684800765	672.0	11666	23276
point	3	12	0	11	14324.61880549668	21678.610953813906	298.0	14318	21691
point	2	12	0	11	14108.428219501908	13319.117745574533	672.0	14016	13264
point	1	12	0	11	11629.640327267029	23362.671312909988	672.0	11494	23686
point	4	12	0	11	11845.83713310972	22839.894952208928	672.0	11906	22694
disappearpoint	3	12	0	12	14255.0	21725.0	0.0	14255	21725
point	2	13	0	12	13494.179674086456	13048.978559171304	672.0	13220	12936
point	1	13	0	12	11366.922781960993	23981.178127976345	672.0	11279	24184
point	4	13	0	12	12112.44091305824	22223.081599297264	672.0	12191	22043
point	2	14	0	13	12861.404094927748	12826.237982487384	672.0	12284	12624
point	1	14	0	13	11100.818581829193	24598.231276661612	672.0	10893	25090
point	4	14	0	13	12153.62443577968	21602.62667467437	1009.0	12036	21504
point	2	15	0	14	12206.896954491613	12671.182460684237	1009.0	12016	12788
point	1	15	0	14	10838.47739629466	25216.906060348636	672.0	10835	25225
point	4	15	0	14	11313.29227242373	21066.05686553193	1009.0	10364	20772
point	2	16	0	15	11281.027199547101	13063.625374788222	1009.0	10544	13292
point	1	16	0	15	10575.942637376591	25835.447396302763	672.0	10548	25904
point	4	16	0	15	10348.794057781952	20772.144818497316	1009.0	9944	20776
point	2	17	0	16	10437.736752915513	13174.922351663552	672.0	10318	13043
point	1	17	0	16	10516.299218474987	26480.781540871783	672.0	10544	26692
point	4	17	0	16	9379.394112569566	20560.912042883643	1009.0	9356	20552
point	2	18	0	17	10064.658191907696	12619.096986512826	672.0	9989	12493
point	1	18	0	17	10603.81235237114	27147.058843039897	672.0	10618	27255
point	4	18	0	17	8838.76761159309	19715.587001641332	1009.0	8584	18848
point	2	19	0	18	9718.917044260397	12042.861740433997	672.0	9659	11943
point	1	19	0	18	10687.354397412511	27813.83517930009	672.0	10692	27851
point	4	19	0	18	8578.989672345942	18743.33982233747	1009.0	8548	18096
point	2	20	0	19	9372.997893396421	11466.734211179311	672.0	9097	11009
